NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
KEI,DMADMA (Reverse) | DMADMA (No SL),0.0,5267.5,0.0,-0.2130157958721563,0.0,60.40750136372714,75,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5616.43 | 5598.3,4469.21,
KSHINTL,RDX Indicator,0.0,793.15,-3.078114073156991e-06,-0.2056604384827426,0.0,69.477255542697,85,Explosive Buy,902.04,711.48,
KTKBANK,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,269.35,-2.266016507873013e-06,-0.0166281512694063,0.0,60.91542922570201,100,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,288.98 | 286.27,254.63 | 214.87,
LAURUSLABS,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,1362.0,0.0,-0.6666581127339255,0.0,74.17737592249907,65,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,1425.24 | 1447.53,1314.57 | 1067.54,
LIQUIDCASE,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,114.3,-2.6699542728448234e-06,-1.1867586962608585,0.0,99.99894666800894,65,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,114.37 | 121.48,114.25 | 112.65,
LLOYDSENGG,RDX Indicator | DMADMA (No SL),0.0,73.61,-8.291693492835024e-07,-0.3969886078392998,0.0,66.5624945912046,100,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,80.78 | 78.23,68.23,
LLOYDSME,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,1802.1,1.3547562698963197e-06,-0.0613865011097833,0.0,61.49080497668019,80,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,1916.42 | 1915.27,1716.36 | 1357.41,
LT,DMADMA (Reverse),0.0,4076.5,0.0,-0.1374226482169144,0.0,63.31832361992936,90,150 DMA Breakout | CMP > 200 DMA,4229.22,3967.73,
LUPIN,DMADMA (Reverse),0.0,2267.7,2.1532004175802994e-06,0.2291961634666701,0.0,45.27884237341604,40,150 DMA Breakout | CMP > 200 DMA,2365.52,2205.54,
M&M,ETF Shop Method,0.0,3045.6,-3.206469889664802e-06,0.274560233595599,0.0,41.25710485512984,25,Buy,,,-3.0639445796239877
MARICO,DMADMA (Reverse) | DMADMA (No SL),0.0,821.7,-1.4855824538371364e-06,-0.0513147748701921,0.0,53.38506745643173,70,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,857.57 | 873.3,764.16,
MARKSANS,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,246.19,-9.916756277927237e-07,-0.369536807629967,0.0,73.55580407298436,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,271.82 | 261.65,226.97 | 183.87,
MAXHEALTH,ETF Shop Method,0.0,965.1,2.5296925852593613e-06,0.0600755938027601,0.0,36.480261294597774,20,Buy,,,-5.719267572970746
MAZDOCK,ETF Shop Method,0.0,2456.5,0.0,0.2692307219081065,0.0,43.41718739924805,30,Buy,,,-2.30662301755352
MCX,ETF Shop Method | DMADMA (Reverse) | DMADMA (No SL),0.0,2954.5,0.0,-0.0020692763154736,0.0,41.67777751995789,60,Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,3213.76 | 3140.04,2442.69,-7.228746673271911
MEESHO,ETF Shop Method,0.0,183.3,-1.6648978452387702e-06,0.0454242319678666,0.0,47.11280140803254,40,Buy,,,-5.455520158162075
